ID, FP, FN, RF
0, 0.52, 0.52, 0.52
1, 0.52, 0.52, 0.52
2, 0.48, 0.48, 0.48
3, 0.52, 0.52, 0.52
4, 0.52, 0.52, 0.52
5, 0.52, 0.52, 0.52
6, 0.4, 0.4, 0.4
7, 0.44, 0.44, 0.44
8, 0.44, 0.44, 0.44
9, 0.52, 0.52, 0.52
10, 0.48, 0.48, 0.48
11, 0.52, 0.52, 0.52
12, 0.52, 0.52, 0.52
13, 0.44, 0.44, 0.44
14, 0.52, 0.52, 0.52
15, 0.44, 0.44, 0.44
16, 0.48, 0.48, 0.48
17, 0.4, 0.4, 0.4
18, 0.52, 0.52, 0.52
19, 0.52, 0.52, 0.52
20, 0.44, 0.44, 0.44
21, 0.48, 0.48, 0.48
22, 0.52, 0.52, 0.52
23, 0.52, 0.52, 0.52
24, 0.4, 0.4, 0.4
25, 0.52, 0.52, 0.52
26, 0.56, 0.56, 0.56
27, 0.44, 0.44, 0.44
28, 0.52, 0.52, 0.52
29, 0.44, 0.44, 0.44
