ID, FP, FN, RF
0, 0.625, 0.625, 0.625
1, 0.875, 0.875, 0.875
2, 0.625, 0.625, 0.625
3, 0.875, 0.875, 0.875
4, 0.625, 0.625, 0.625
5, 0.875, 0.875, 0.875
6, 0.75, 0.75, 0.75
7, 0.625, 0.625, 0.625
8, 0.625, 0.625, 0.625
9, 0.75, 0.75, 0.75
10, 0.625, 0.625, 0.625
11, 0.5, 0.5, 0.5
12, 0.625, 0.625, 0.625
13, 0.625, 0.625, 0.625
14, 0.625, 0.625, 0.625
15, 0.625, 0.625, 0.625
16, 0.625, 0.625, 0.625
17, 0.875, 0.875, 0.875
18, 0.75, 0.75, 0.75
19, 0.625, 0.625, 0.625
20, 0.75, 0.75, 0.75
21, 0.625, 0.625, 0.625
22, 0.625, 0.625, 0.625
23, 0.5, 0.5, 0.5
24, 0.625, 0.625, 0.625
25, 0.75, 0.75, 0.75
26, 0.75, 0.75, 0.75
27, 0.625, 0.625, 0.625
28, 0.625, 0.625, 0.625
29, 0.75, 0.75, 0.75
