ID, FP, FN, RF
0, 0.53125, 0.53125, 0.53125
1, 0.53125, 0.53125, 0.53125
2, 0.53125, 0.53125, 0.53125
3, 0.53125, 0.53125, 0.53125
4, 0.53125, 0.53125, 0.53125
5, 0.53125, 0.53125, 0.53125
6, 0.53125, 0.53125, 0.53125
7, 0.53125, 0.53125, 0.53125
8, 0.53125, 0.53125, 0.53125
9, 0.53125, 0.53125, 0.53125
10, 0.53125, 0.53125, 0.53125
11, 0.53125, 0.53125, 0.53125
12, 0.53125, 0.53125, 0.53125
13, 0.53125, 0.53125, 0.53125
14, 0.53125, 0.53125, 0.53125
15, 0.53125, 0.53125, 0.53125
16, 0.53125, 0.53125, 0.53125
17, 0.53125, 0.53125, 0.53125
18, 0.53125, 0.53125, 0.53125
19, 0.53125, 0.53125, 0.53125
20, 0.53125, 0.53125, 0.53125
21, 0.53125, 0.53125, 0.53125
22, 0.53125, 0.53125, 0.53125
23, 0.53125, 0.53125, 0.53125
24, 0.53125, 0.53125, 0.53125
25, 0.53125, 0.53125, 0.53125
26, 0.53125, 0.53125, 0.53125
27, 0.46875, 0.46875, 0.46875
28, 0.53125, 0.53125, 0.53125
29, 0.53125, 0.53125, 0.53125
