ID, FP, FN, RF
0, 0.38, 0.38, 0.38
1, 0.36, 0.36, 0.36
2, 0.26, 0.26, 0.26
3, 0.26, 0.26, 0.26
4, 0.42, 0.42, 0.42
5, 0.42, 0.42, 0.42
6, 0.38, 0.38, 0.38
7, 0.26, 0.26, 0.26
8, 0.4, 0.4, 0.4
9, 0.42, 0.42, 0.42
10, 0.22, 0.22, 0.22
11, 0.26, 0.26, 0.26
12, 0.32, 0.32, 0.32
13, 0.4, 0.4, 0.4
14, 0.28, 0.28, 0.28
15, 0.38, 0.38, 0.38
16, 0.32, 0.32, 0.32
17, 0.38, 0.38, 0.38
18, 0.24, 0.24, 0.24
19, 0.42, 0.42, 0.42
20, 0.28, 0.28, 0.28
21, 0.38, 0.38, 0.38
22, 0.36, 0.36, 0.36
23, 0.22, 0.22, 0.22
24, 0.32, 0.32, 0.32
25, 0.36, 0.36, 0.36
26, 0.4, 0.4, 0.4
27, 0.3, 0.3, 0.3
28, 0.32, 0.32, 0.32
29, 0.36, 0.36, 0.36
