ID, FP, FN, RF
0, 0.875, 0.875, 0.875
1, 1.0, 1.0, 1.0
2, 1.0, 1.0, 1.0
3, 1.0, 1.0, 1.0
4, 0.75, 0.75, 0.75
5, 1.0, 1.0, 1.0
6, 0.875, 0.875, 0.875
7, 0.875, 0.875, 0.875
8, 1.0, 1.0, 1.0
9, 1.0, 1.0, 1.0
10, 0.875, 0.875, 0.875
11, 0.875, 0.875, 0.875
12, 0.875, 0.875, 0.875
13, 0.75, 0.75, 0.75
14, 0.875, 0.875, 0.875
15, 0.625, 0.625, 0.625
16, 1.0, 1.0, 1.0
17, 0.875, 0.875, 0.875
18, 0.875, 0.875, 0.875
19, 0.875, 0.875, 0.875
20, 1.0, 1.0, 1.0
21, 0.75, 0.75, 0.75
22, 0.75, 0.75, 0.75
23, 0.75, 0.75, 0.75
24, 1.0, 1.0, 1.0
25, 1.0, 1.0, 1.0
26, 0.75, 0.75, 0.75
27, 0.875, 0.875, 0.875
28, 1.0, 1.0, 1.0
29, 1.0, 1.0, 1.0
