ID, FP, FN, RF
0, 0.375, 0.375, 0.375
1, 0.375, 0.375, 0.375
2, 0.75, 0.75, 0.75
3, 0.75, 0.75, 0.75
4, 0.375, 0.375, 0.375
5, 0.75, 0.75, 0.75
6, 0.375, 0.375, 0.375
7, 0.5, 0.5, 0.5
8, 0.625, 0.625, 0.625
9, 0.375, 0.375, 0.375
10, 0.375, 0.375, 0.375
11, 0.375, 0.375, 0.375
12, 0.375, 0.375, 0.375
13, 0.25, 0.25, 0.25
14, 0.5, 0.5, 0.5
15, 0.25, 0.25, 0.25
16, 0.5, 0.5, 0.5
17, 0.5, 0.5, 0.5
18, 0.375, 0.375, 0.375
19, 0.375, 0.375, 0.375
20, 0.375, 0.375, 0.375
21, 0.375, 0.375, 0.375
22, 0.375, 0.375, 0.375
23, 0.125, 0.125, 0.125
24, 0.25, 0.25, 0.25
25, 0.125, 0.125, 0.125
26, 0.25, 0.25, 0.25
27, 0.375, 0.375, 0.375
28, 0.375, 0.375, 0.375
29, 0.125, 0.125, 0.125
