ID, FP, FN, RF
0, 0.366197183099, 0.366197183099, 0.366197183099
1, 0.352112676056, 0.352112676056, 0.352112676056
2, 0.338028169014, 0.338028169014, 0.338028169014
3, 0.352112676056, 0.352112676056, 0.352112676056
4, 0.323943661972, 0.323943661972, 0.323943661972
5, 0.380281690141, 0.380281690141, 0.380281690141
6, 0.380281690141, 0.380281690141, 0.380281690141
7, 0.366197183099, 0.366197183099, 0.366197183099
8, 0.323943661972, 0.323943661972, 0.323943661972
9, 0.366197183099, 0.366197183099, 0.366197183099
10, 0.43661971831, 0.43661971831, 0.43661971831
11, 0.366197183099, 0.366197183099, 0.366197183099
12, 0.380281690141, 0.380281690141, 0.380281690141
13, 0.366197183099, 0.366197183099, 0.366197183099
14, 0.338028169014, 0.338028169014, 0.338028169014
15, 0.380281690141, 0.380281690141, 0.380281690141
16, 0.408450704225, 0.408450704225, 0.408450704225
17, 0.366197183099, 0.366197183099, 0.366197183099
18, 0.338028169014, 0.338028169014, 0.338028169014
19, 0.30985915493, 0.30985915493, 0.30985915493
20, 0.380281690141, 0.380281690141, 0.380281690141
21, 0.30985915493, 0.30985915493, 0.30985915493
22, 0.366197183099, 0.366197183099, 0.366197183099
23, 0.281690140845, 0.281690140845, 0.281690140845
24, 0.338028169014, 0.338028169014, 0.338028169014
25, 0.352112676056, 0.352112676056, 0.352112676056
26, 0.30985915493, 0.30985915493, 0.30985915493
27, 0.323943661972, 0.323943661972, 0.323943661972
28, 0.30985915493, 0.30985915493, 0.30985915493
29, 0.380281690141, 0.380281690141, 0.380281690141
