ID, FP, FN, RF
0, 0.166666666667, 0.166666666667, 0.166666666667
1, 0.291666666667, 0.291666666667, 0.291666666667
2, 0.25, 0.25, 0.25
3, 0.166666666667, 0.166666666667, 0.166666666667
4, 0.291666666667, 0.291666666667, 0.291666666667
5, 0.291666666667, 0.291666666667, 0.291666666667
6, 0.25, 0.25, 0.25
7, 0.25, 0.25, 0.25
8, 0.25, 0.25, 0.25
9, 0.25, 0.25, 0.25
10, 0.291666666667, 0.291666666667, 0.291666666667
11, 0.25, 0.25, 0.25
12, 0.25, 0.25, 0.25
13, 0.25, 0.25, 0.25
14, 0.291666666667, 0.291666666667, 0.291666666667
15, 0.25, 0.25, 0.25
16, 0.25, 0.25, 0.25
17, 0.25, 0.25, 0.25
18, 0.25, 0.25, 0.25
19, 0.291666666667, 0.291666666667, 0.291666666667
20, 0.25, 0.25, 0.25
21, 0.25, 0.25, 0.25
22, 0.25, 0.25, 0.25
23, 0.25, 0.25, 0.25
24, 0.291666666667, 0.291666666667, 0.291666666667
25, 0.25, 0.25, 0.25
26, 0.25, 0.25, 0.25
27, 0.25, 0.25, 0.25
28, 0.25, 0.25, 0.25
29, 0.25, 0.25, 0.25
