ID, FP, FN, RF
0, 0.875, 0.875, 0.875
1, 0.875, 0.875, 0.875
2, 0.375, 0.375, 0.375
3, 0.5, 0.5, 0.5
4, 0.875, 0.875, 0.875
5, 0.125, 0.125, 0.125
6, 0.75, 0.75, 0.75
7, 0.75, 0.75, 0.75
8, 0.25, 0.25, 0.25
9, 0.5, 0.5, 0.5
10, 0.875, 0.875, 0.875
11, 0.875, 0.875, 0.875
12, 0.875, 0.875, 0.875
13, 0.125, 0.125, 0.125
14, 0.875, 0.875, 0.875
15, 0.875, 0.875, 0.875
16, 0.875, 0.875, 0.875
17, 0.875, 0.875, 0.875
18, 0.25, 0.25, 0.25
19, 0.875, 0.875, 0.875
20, 0.875, 0.875, 0.875
21, 0.25, 0.25, 0.25
22, 0.875, 0.875, 0.875
23, 0.25, 0.25, 0.25
24, 0.375, 0.375, 0.375
25, 0.125, 0.125, 0.125
26, 0.375, 0.375, 0.375
27, 0.625, 0.625, 0.625
28, 0.375, 0.375, 0.375
29, 0.375, 0.375, 0.375
