ID, FP, FN, RF
0, 0.52, 0.52, 0.52
1, 0.6, 0.6, 0.6
2, 0.56, 0.56, 0.56
3, 0.72, 0.72, 0.72
4, 0.6, 0.6, 0.6
5, 0.2, 0.2, 0.2
6, 0.56, 0.56, 0.56
7, 0.28, 0.28, 0.28
8, 0.32, 0.32, 0.32
9, 0.32, 0.32, 0.32
10, 0.52, 0.52, 0.52
11, 0.28, 0.28, 0.28
12, 0.52, 0.52, 0.52
13, 0.52, 0.52, 0.52
14, 0.52, 0.52, 0.52
15, 0.32, 0.32, 0.32
16, 0.72, 0.72, 0.72
17, 0.64, 0.64, 0.64
18, 0.72, 0.72, 0.72
19, 0.36, 0.36, 0.36
20, 0.32, 0.32, 0.32
21, 0.2, 0.2, 0.2
22, 0.52, 0.52, 0.52
23, 0.56, 0.56, 0.56
24, 0.24, 0.24, 0.24
25, 0.28, 0.28, 0.28
26, 0.36, 0.36, 0.36
27, 0.56, 0.56, 0.56
28, 0.52, 0.52, 0.52
29, 0.36, 0.36, 0.36
