ID, FP, FN, RF
0, 0.5, 0.5, 0.5
1, 0.5, 0.5, 0.5
2, 0.2, 0.2, 0.2
3, 0.5, 0.5, 0.5
4, 0.4, 0.4, 0.4
5, 0.3, 0.3, 0.3
6, 0.5, 0.5, 0.5
7, 0.2, 0.2, 0.2
8, 0.3, 0.3, 0.3
9, 0.5, 0.5, 0.5
10, 0.2, 0.2, 0.2
11, 0.5, 0.5, 0.5
12, 0.5, 0.5, 0.5
13, 0.3, 0.3, 0.3
14, 0.5, 0.5, 0.5
15, 0.3, 0.3, 0.3
16, 0.5, 0.5, 0.5
17, 0.5, 0.5, 0.5
18, 0.4, 0.4, 0.4
19, 0.2, 0.2, 0.2
20, 0.4, 0.4, 0.4
21, 0.3, 0.3, 0.3
22, 0.4, 0.4, 0.4
23, 0.6, 0.6, 0.6
24, 0.5, 0.5, 0.5
25, 0.3, 0.3, 0.3
26, 0.5, 0.5, 0.5
27, 0.3, 0.3, 0.3
28, 0.4, 0.4, 0.4
29, 0.2, 0.2, 0.2
