ID, FP, FN, RF
0, 0.416666666667, 0.416666666667, 0.416666666667
1, 0.5, 0.5, 0.5
2, 0.416666666667, 0.416666666667, 0.416666666667
3, 0.5, 0.5, 0.5
4, 0.375, 0.375, 0.375
5, 0.5, 0.5, 0.5
6, 0.458333333333, 0.458333333333, 0.458333333333
7, 0.375, 0.375, 0.375
8, 0.375, 0.375, 0.375
9, 0.416666666667, 0.416666666667, 0.416666666667
10, 0.416666666667, 0.416666666667, 0.416666666667
11, 0.5, 0.5, 0.5
12, 0.375, 0.375, 0.375
13, 0.416666666667, 0.416666666667, 0.416666666667
14, 0.416666666667, 0.416666666667, 0.416666666667
15, 0.375, 0.375, 0.375
16, 0.416666666667, 0.416666666667, 0.416666666667
17, 0.5, 0.5, 0.5
18, 0.5, 0.5, 0.5
19, 0.5, 0.5, 0.5
20, 0.375, 0.375, 0.375
21, 0.5, 0.5, 0.5
22, 0.5, 0.5, 0.5
23, 0.375, 0.375, 0.375
24, 0.416666666667, 0.416666666667, 0.416666666667
25, 0.5, 0.5, 0.5
26, 0.458333333333, 0.458333333333, 0.458333333333
27, 0.375, 0.375, 0.375
28, 0.458333333333, 0.458333333333, 0.458333333333
29, 0.416666666667, 0.416666666667, 0.416666666667
