Weight, FP, FN, RF
0.00|0.00|0.00|1.00, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.00|0.26|0.74, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.00|0.50|0.50, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.00|0.74|0.26, 0.0384615384615, 0.0384615384615, 0.0384615384615
0.00|0.00|1.00|0.00, 0.230769230769, 0.230769230769, 0.230769230769
0.00|0.25|0.75|0.00, 0.0769230769231, 0.0769230769231, 0.0769230769231
0.00|0.26|0.00|0.74, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.42|0.29|0.29, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.49|0.51|0.00, 0.115384615385, 0.115384615385, 0.115384615385
0.00|0.49|0.00|0.51, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.73|0.27|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.00|0.74|0.00|0.26, 0.153846153846, 0.153846153846, 0.153846153846
0.00|1.00|0.00|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.18|0.18|0.17|0.47, 0.153846153846, 0.153846153846, 0.153846153846
0.18|0.18|0.47|0.17, 0.192307692308, 0.192307692308, 0.192307692308
0.25|0.48|0.00|0.27, 0.153846153846, 0.153846153846, 0.153846153846
0.25|0.48|0.27|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.25|0.00|0.00|0.75, 0.153846153846, 0.153846153846, 0.153846153846
0.26|0.74|0.00|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.26|0.00|0.74|0.00, 0.0384615384615, 0.0384615384615, 0.0384615384615
0.40|0.00|0.30|0.30, 0.153846153846, 0.153846153846, 0.153846153846
0.48|0.24|0.00|0.27, 0.153846153846, 0.153846153846, 0.153846153846
0.49|0.00|0.00|0.51, 0.153846153846, 0.153846153846, 0.153846153846
0.49|0.25|0.27|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.49|0.00|0.51|0.00, 0.115384615385, 0.115384615385, 0.115384615385
0.50|0.50|0.00|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.73|0.00|0.00|0.27, 0.153846153846, 0.153846153846, 0.153846153846
0.74|0.00|0.26|0.00, 0.153846153846, 0.153846153846, 0.153846153846
0.74|0.26|0.00|0.00, 0.153846153846, 0.153846153846, 0.153846153846
1.00|0.00|0.00|0.00, 0.153846153846, 0.153846153846, 0.153846153846
