Dataset, FP, FN, RF
BB40020, 0.2, 0.2, 0.2
BB40021, 0.227272727273, 0.227272727273, 0.227272727273
BB40022, 0.818181818182, 0.818181818182, 0.818181818182
BB40023, 0.473684210526, 0.473684210526, 0.473684210526
BB40024, 0.354838709677, 0.354838709677, 0.354838709677
BB40025, 0.0909090909091, 0.0909090909091, 0.0909090909091
BB40026, 0.242424242424, 0.242424242424, 0.242424242424
BB40027, 0.366666666667, 0.366666666667, 0.366666666667
BB40028, 0.315789473684, 0.315789473684, 0.315789473684
BB40029, 0.238095238095, 0.238095238095, 0.238095238095
BB40030, 0.172413793103, 0.172413793103, 0.172413793103
BB40031, 0.458333333333, 0.458333333333, 0.458333333333
BB40033, 0.125, 0.125, 0.125
BB40034, 0.58064516129, 0.58064516129, 0.58064516129
BB40035, 0.5, 0.5, 0.5
BB40036, 0.269230769231, 0.269230769231, 0.269230769231
BB40037, 0.488372093023, 0.488372093023, 0.488372093023
BB40038, 0.3, 0.3, 0.3
BB40039, 0.322580645161, 0.322580645161, 0.322580645161
BB40040, 0.0740740740741, 0.0740740740741, 0.0740740740741
BB40041, 0.846153846154, 0.846153846154, 0.846153846154
BB40042, 0.607142857143, 0.607142857143, 0.607142857143
BB40043, 0.214285714286, 0.214285714286, 0.214285714286
BB40044, 0.613636363636, 0.613636363636, 0.613636363636
BB40045, 0.875, 0.875, 0.875
BB40046, 0.461538461538, 0.461538461538, 0.461538461538
BB40047, 0.490196078431, 0.490196078431, 0.490196078431
BB40048, 0.0714285714286, 0.0714285714286, 0.0714285714286
BB40049, 0.322033898305, 0.322033898305, 0.322033898305
BB50001, 0.193548387097, 0.193548387097, 0.193548387097
BB50002, 0.7, 0.7, 0.7
BB50003, 0.225, 0.225, 0.225
BB50005, 0.25, 0.25, 0.25
BB50006, 0.228070175439, 0.228070175439, 0.228070175439
BB50007, 0.55, 0.55, 0.55
BB50008, 0.0434782608696, 0.0434782608696, 0.0434782608696
BB50009, 0.24, 0.24, 0.24
BB50010, 0.142857142857, 0.142857142857, 0.142857142857
BB50011, 0.393939393939, 0.393939393939, 0.393939393939
BB50012, 0.260869565217, 0.260869565217, 0.260869565217
BB50013, 0.2, 0.2, 0.2
BB50014, 0.185185185185, 0.185185185185, 0.185185185185
BB50015, 0.48275862069, 0.48275862069, 0.48275862069
BB50016, 0.266666666667, 0.266666666667, 0.266666666667
